responses_comment;questionaire_uuid;responses_time;wm_config;wm_testId;wm_date;responses_score;wm_id;wm_type;responses_stimulus
;870d88d0-dcad-4833-b9b4-921906de7e3a;123583;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;100;english_test_2;mushra;C3_2
;870d88d0-dcad-4833-b9b4-921906de7e3a;123583;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;70;english_test_2;mushra;C1_1
;870d88d0-dcad-4833-b9b4-921906de7e3a;123583;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;100;english_test_2;mushra;C1_2
;870d88d0-dcad-4833-b9b4-921906de7e3a;110910;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;8;japanese_test_1;mushra;C2_1
;870d88d0-dcad-4833-b9b4-921906de7e3a;110910;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;50;japanese_test_1;mushra;C2_2
;870d88d0-dcad-4833-b9b4-921906de7e3a;110910;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;100;japanese_test_1;mushra;reference_1
;870d88d0-dcad-4833-b9b4-921906de7e3a;110910;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;100;japanese_test_1;mushra;reference_2
;870d88d0-dcad-4833-b9b4-921906de7e3a;110910;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;29;japanese_test_1;mushra;C1_1
;870d88d0-dcad-4833-b9b4-921906de7e3a;110910;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;69;japanese_test_1;mushra;C1_2
;870d88d0-dcad-4833-b9b4-921906de7e3a;110910;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;70;japanese_test_1;mushra;C3_1
;870d88d0-dcad-4833-b9b4-921906de7e3a;110910;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;44;japanese_test_1;mushra;C3_2
;870d88d0-dcad-4833-b9b4-921906de7e3a;110910;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;71;japanese_test_1;mushra;C4_1
;870d88d0-dcad-4833-b9b4-921906de7e3a;110910;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;75;japanese_test_1;mushra;C4_2
;870d88d0-dcad-4833-b9b4-921906de7e3a;92917;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;100;japanese_test_2;mushra;C1_1
;870d88d0-dcad-4833-b9b4-921906de7e3a;92917;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;84;japanese_test_2;mushra;C1_2
;870d88d0-dcad-4833-b9b4-921906de7e3a;92917;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;5;japanese_test_2;mushra;C2_1
;870d88d0-dcad-4833-b9b4-921906de7e3a;92917;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;72;japanese_test_2;mushra;C2_2
